in s,C1 in V
-5.93712E-04,2.821806E-01
-5.93696E-04,2.819979E-01
-5.93680E-04,2.850420E-01
-5.93664E-04,2.829720E-01
-5.93648E-04,2.834794E-01
-5.93632E-04,2.828909E-01
-5.93616E-04,2.823835E-01
-5.93600E-04,2.820588E-01
-5.93584E-04,2.834185E-01
-5.93568E-04,2.815920E-01
-5.93552E-04,2.842100E-01
-5.93536E-04,2.828909E-01
-5.93520E-04,2.839462E-01
-5.93504E-04,2.830329E-01
-5.93488E-04,2.829720E-01
-5.93472E-04,2.808208E-01
-5.93456E-04,2.826473E-01
-5.93440E-04,2.828300E-01
-5.93424E-04,2.827082E-01
-5.93408E-04,2.816732E-01
-5.93392E-04,2.837432E-01
-5.93376E-04,2.823835E-01
-5.93360E-04,2.830938E-01
-5.93344E-04,2.835606E-01
-5.93328E-04,2.801105E-01
-5.93312E-04,2.836214E-01
-5.93296E-04,2.810847E-01
-5.93280E-04,2.821806E-01
-5.93264E-04,2.815920E-01
-5.93248E-04,2.824444E-01
-5.93232E-04,2.811456E-01
-5.93216E-04,2.817341E-01
-5.93200E-04,2.824444E-01
-5.93184E-04,2.823835E-01
-5.93168E-04,2.823226E-01
-5.93152E-04,2.824444E-01
-5.93136E-04,2.820588E-01
-5.93120E-04,2.814703E-01
-5.93104E-04,2.812673E-01
-5.93088E-04,2.810238E-01
-5.93072E-04,2.824444E-01
-5.93056E-04,2.813485E-01
-5.93040E-04,2.819167E-01
-5.93024E-04,2.797250E-01
-5.93008E-04,2.808817E-01
-5.92992E-04,2.801714E-01
-5.92976E-04,2.808817E-01
-5.92960E-04,2.809426E-01
-5.92944E-04,2.819979E-01
-5.92928E-04,2.814094E-01
-5.92912E-04,2.818559E-01
-5.92896E-04,2.815920E-01
-5.92880E-04,2.821806E-01
-5.92864E-04,2.806179E-01
-5.92848E-04,2.799076E-01
-5.92832E-04,2.810847E-01
-5.92816E-04,2.814094E-01
-5.92800E-04,2.820588E-01
-5.92784E-04,2.809426E-01
-5.92768E-04,2.804353E-01
-5.92752E-04,2.804353E-01
-5.92736E-04,2.802932E-01
-5.92720E-04,2.820588E-01
-5.92704E-04,2.809426E-01
-5.92688E-04,2.801714E-01
-5.92672E-04,2.794611E-01
-5.92656E-04,2.806179E-01
-5.92640E-04,2.810847E-01
-5.92624E-04,2.785479E-01
-5.92608E-04,2.808817E-01
-5.92592E-04,2.803744E-01
-5.92576E-04,2.803744E-01
-5.92560E-04,2.800497E-01
-5.92544E-04,2.808208E-01
-5.92528E-04,2.795220E-01
-5.92512E-04,2.807600E-01
-5.92496E-04,2.788117E-01
-5.92480E-04,2.799685E-01
-5.92464E-04,2.802323E-01
-5.92448E-04,2.797250E-01
-5.92432E-04,2.793191E-01
-5.92416E-04,2.805570E-01
-5.92400E-04,2.802323E-01
-5.92384E-04,2.806991E-01
-5.92368E-04,2.805570E-01
-5.92352E-04,2.805570E-01
-5.92336E-04,2.799685E-01
-5.92320E-04,2.806991E-01
-5.92304E-04,2.801714E-01
-5.92288E-04,2.799076E-01
-5.92272E-04,2.816732E-01
-5.92256E-04,2.784058E-01
-5.92240E-04,2.811456E-01
-5.92224E-04,2.780202E-01
