in Hz,Spectrum in dBm
1.1253357E+05,-4.89575E+01
1.1301041E+05,-4.87975E+01
1.1348724E+05,-4.86575E+01
1.1396408E+05,-4.84975E+01
1.1444092E+05,-4.83375E+01
1.1491776E+05,-4.81575E+01
1.1539459E+05,-4.79775E+01
1.1587143E+05,-4.77775E+01
1.1634827E+05,-4.75375E+01
1.1682510E+05,-4.72975E+01
1.1730194E+05,-4.70175E+01
1.1777878E+05,-4.67375E+01
1.1825562E+05,-4.64375E+01
1.1873245E+05,-4.61175E+01
1.1920929E+05,-4.57775E+01
1.1968613E+05,-4.54375E+01
1.2016296E+05,-4.50975E+01
1.2063980E+05,-4.47575E+01
1.2111664E+05,-4.44375E+01
1.2159348E+05,-4.41375E+01
1.2207031E+05,-4.38575E+01
1.2254715E+05,-4.35975E+01
1.2302399E+05,-4.33775E+01
1.2350082E+05,-4.31775E+01
1.2397766E+05,-4.30175E+01
1.2445450E+05,-4.29175E+01
1.2493134E+05,-4.28575E+01
1.2540817E+05,-4.28375E+01
1.2588501E+05,-4.28575E+01
1.2636185E+05,-4.29375E+01
1.2683868E+05,-4.30575E+01
1.2731552E+05,-4.32175E+01
1.2779236E+05,-4.34175E+01
1.2826920E+05,-4.36775E+01
1.2874603E+05,-4.39575E+01
1.2922287E+05,-4.42775E+01
1.2969971E+05,-4.46175E+01
1.3017654E+05,-4.49775E+01
1.3065338E+05,-4.53575E+01
1.3113022E+05,-4.57175E+01
1.3160706E+05,-4.60975E+01
1.3208389E+05,-4.64575E+01
1.3256073E+05,-4.68175E+01
1.3303757E+05,-4.71375E+01
1.3351440E+05,-4.74575E+01
1.3399124E+05,-4.77775E+01
1.3446808E+05,-4.80975E+01
1.3494492E+05,-4.84175E+01
1.3542175E+05,-4.87775E+01
1.3589859E+05,-4.91775E+01
1.3637543E+05,-4.96175E+01
1.3685226E+05,-5.01175E+01
1.3732910E+05,-5.06975E+01
1.3780594E+05,-5.13375E+01
1.3828278E+05,-5.20375E+01
1.3875961E+05,-5.27575E+01
1.3923645E+05,-5.34575E+01
1.3971329E+05,-5.40375E+01
1.4019012E+05,-5.43975E+01
1.4066696E+05,-5.44575E+01
1.4114380E+05,-5.42175E+01
1.4162064E+05,-5.37575E+01
1.4209747E+05,-5.31775E+01
1.4257431E+05,-5.25575E+01
1.4305115E+05,-5.19575E+01
1.4352798E+05,-5.13975E+01
1.4400482E+05,-5.09175E+01
1.4448166E+05,-5.04975E+01
1.4495850E+05,-5.01375E+01
1.4543533E+05,-4.98175E+01
1.4591217E+05,-4.95175E+01
1.4638901E+05,-4.92575E+01
1.4686584E+05,-4.90175E+01
1.4734268E+05,-4.87775E+01
1.4781952E+05,-4.85375E+01
1.4829636E+05,-4.82975E+01
1.4877319E+05,-4.80775E+01
1.4925003E+05,-4.78575E+01
1.4972687E+05,-4.76375E+01
1.5020370E+05,-4.74375E+01
1.5068054E+05,-4.72375E+01
1.5115738E+05,-4.70775E+01
1.5163422E+05,-4.69375E+01
1.5211105E+05,-4.68375E+01
1.5258789E+05,-4.67575E+01
1.5306473E+05,-4.66975E+01
1.5354156E+05,-4.66775E+01
1.5401840E+05,-4.66775E+01
1.5449524E+05,-4.66975E+01
1.5497208E+05,-4.67375E+01
1.5544891E+05,-4.67975E+01
1.5592575E+05,-4.68575E+01
1.5640259E+05,-4.69375E+01
1.5687943E+05,-4.69775E+01
1.5735626E+05,-4.70175E+01
1.5783310E+05,-4.70175E+01
1.5830994E+05,-4.69775E+01
1.5878677E+05,-4.68975E+01
1.5926361E+05,-4.67575E+01
1.5974045E+05,-4.65575E+01
1.6021729E+05,-4.63175E+01
1.6069412E+05,-4.59975E+01
1.6117096E+05,-4.56375E+01
1.6164780E+05,-4.52375E+01
1.6212463E+05,-4.48175E+01
1.6260147E+05,-4.43575E+01
1.6307831E+05,-4.38975E+01
1.6355515E+05,-4.34375E+01
1.6403198E+05,-4.29975E+01
1.6450882E+05,-4.25775E+01
1.6498566E+05,-4.21975E+01
1.6546249E+05,-4.18375E+01
1.6593933E+05,-4.14975E+01
1.6641617E+05,-4.12175E+01
1.6689301E+05,-4.09775E+01
1.6736984E+05,-4.07575E+01
