in s,C2 in V
-2.9899699E+00,-7.7133179E-01
-2.9899241E+00,-7.7346802E-01
-2.9898783E+00,-7.7011108E-01
-2.9898326E+00,-7.7377319E-01
-2.9897868E+00,-7.7346802E-01
-2.9897410E+00,-7.7072144E-01
-2.9896952E+00,-7.7285767E-01
-2.9896494E+00,-7.7194214E-01
-2.9896036E+00,-7.6766968E-01
-2.9895578E+00,-7.6583862E-01
-2.9895121E+00,-7.6797485E-01
-2.9894663E+00,-7.6828003E-01
-2.9894205E+00,-7.6858521E-01
-2.9893747E+00,-7.6736450E-01
-2.9893289E+00,-7.6492310E-01
-2.9892831E+00,-7.6492310E-01
-2.9892374E+00,-7.6583862E-01
-2.9891916E+00,-7.6156616E-01
-2.9891458E+00,-7.6187134E-01
-2.9891000E+00,-7.6614380E-01
-2.9890542E+00,-7.6553345E-01
-2.9890084E+00,-7.6461792E-01
-2.9889627E+00,-7.6828003E-01
-2.9889169E+00,-7.7163696E-01
-2.9888711E+00,-7.6766968E-01
-2.9888253E+00,-7.6828003E-01
-2.9887795E+00,-7.6828003E-01
-2.9887337E+00,-7.6736450E-01
-2.9886880E+00,-7.7041626E-01
-2.9886422E+00,-7.7224731E-01
-2.9885964E+00,-7.6828003E-01
-2.9885506E+00,-7.6736450E-01
-2.9885048E+00,-7.7133179E-01
-2.9884590E+00,-7.7316284E-01
-2.9884132E+00,-7.7224731E-01
-2.9883675E+00,-7.7163696E-01
-2.9883217E+00,-7.7346802E-01
-2.9882759E+00,-7.7346802E-01
-2.9882301E+00,-7.7621460E-01
-2.9881843E+00,-7.7072144E-01
-2.9881385E+00,-7.7285767E-01
-2.9880928E+00,-7.7682495E-01
-2.9880470E+00,-7.7011108E-01
-2.9880012E+00,-7.6736450E-01
-2.9879554E+00,-7.7438354E-01
-2.9879096E+00,-7.7499390E-01
-2.9878638E+00,-7.7651978E-01
-2.9878181E+00,-7.7560425E-01
-2.9877723E+00,-7.7865601E-01
-2.9877265E+00,-7.7835083E-01
-2.9876807E+00,-7.7804565E-01
-2.9876349E+00,-7.7468872E-01
-2.9875891E+00,-7.7377319E-01
-2.9875434E+00,-7.7651978E-01
-2.9874976E+00,-7.7682495E-01
-2.9874518E+00,-7.8079224E-01
-2.9874060E+00,-7.7499390E-01
-2.9873602E+00,-7.7957153E-01
-2.9873144E+00,-7.7529907E-01
-2.9872686E+00,-7.7713013E-01
-2.9872229E+00,-7.7835083E-01
-2.9871771E+00,-7.8231812E-01
-2.9871313E+00,-7.7865601E-01
-2.9870855E+00,-7.7560425E-01
-2.9870397E+00,-7.7590942E-01
-2.9869939E+00,-7.7529907E-01
-2.9869482E+00,-7.7621460E-01
-2.9869024E+00,-7.7407837E-01
-2.9868566E+00,-7.7743530E-01
-2.9868108E+00,-7.7407837E-01
-2.9867650E+00,-7.7316284E-01
-2.9867192E+00,-7.7774048E-01
-2.9866735E+00,-7.7560425E-01
-2.9866277E+00,-7.7499390E-01
-2.9865819E+00,-7.7346802E-01
-2.9865361E+00,-7.7255249E-01
-2.9864903E+00,-7.7590942E-01
-2.9864445E+00,-7.7255249E-01
-2.9863988E+00,-7.7011108E-01
-2.9863530E+00,-7.7011108E-01
-2.9863072E+00,-7.7316284E-01
-2.9862614E+00,-7.7041626E-01
-2.9862156E+00,-7.6858521E-01
-2.9861698E+00,-7.6919556E-01
-2.9861240E+00,-7.7255249E-01
-2.9860783E+00,-7.7011108E-01
-2.9860325E+00,-7.6797485E-01
-2.9859867E+00,-7.6766968E-01
-2.9859409E+00,-7.7163696E-01
-2.9858951E+00,-7.6980591E-01
-2.9858493E+00,-7.6858521E-01
-2.9858036E+00,-7.7194214E-01
-2.9857578E+00,-7.6950073E-01
-2.9857120E+00,-7.6858521E-01
-2.9856662E+00,-7.6644897E-01
-2.9856204E+00,-7.6522827E-01
-2.9855746E+00,-7.6431274E-01
-2.9855289E+00,-7.6339722E-01
-2.9854831E+00,-7.6370239E-01
-2.9854373E+00,-7.6522827E-01
-2.9853915E+00,-7.7102661E-01
-2.9853457E+00,-7.7407837E-01
-2.9852999E+00,-7.7285767E-01
-2.9852542E+00,-7.7133179E-01
-2.9852084E+00,-7.7285767E-01
-2.9851626E+00,-7.7224731E-01
-2.9851168E+00,-7.7529907E-01
-2.9850710E+00,-7.7621460E-01
-2.9850252E+00,-7.7774048E-01
-2.9849794E+00,-7.7651978E-01
-2.9849337E+00,-7.7377319E-01
-2.9848879E+00,-7.7224731E-01
-2.9848421E+00,-7.6858521E-01
-2.9847963E+00,-7.7224731E-01
-2.9847505E+00,-7.6736450E-01
-2.9847047E+00,-7.6675415E-01
-2.9846590E+00,-7.6614380E-01
-2.9846132E+00,-7.6614380E-01
-2.9845674E+00,-7.6278687E-01
-2.9845216E+00,-7.6644897E-01
